"TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
3742,488,806,272,0.9322371699053313,0.8846335697399527,0.9322371699053313,0.6228748068006182,0.9078117418728773,,
806,272,3742,488,0.6228748068006182,0.7476808905380334,0.6228748068006182,0.9322371699053313,0.6795952782462058,,
,,,,,,,,,0.8568198944988696,0.5883890884662257
